Comment,Designator,Footprint,LCSC
1k,"R1,R5",R_0402_1005Metric,C11702
SN74CBTLV3125RGYR,U6,VQFN-14_L3.5-W3.5-P0.50-BL-EP,C133940
"100nF,16V,X7R ","C10,C11,C12,C13,C14,C2,C4,C7,C8,C9",C_0402_1005Metric,C1525
"27pF,50V,C0G ","C1,C3",C_0402_1005Metric,C1557
RP2040,U1,LQFN-56_L7.0-W7.0-P0.4-EP,C2040
27,"R3,R4",R_0402_1005Metric,C25100
10k,"R12,R13,R14,R15,R16,R2,R6,R7,R8,R9",R_0402_1005Metric,C25744
W25Q16JVUXIQ,U2,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335
EVPAWED40,SW1,KEY-SMD_L3.0-W2.0-LS3.5,C2858607
SMD-3225_4P_12.000MHZ_9PF,X1,OSC-SMD_4P-L3.2-W2.5-BL,C362368
"1uF,25V,X5R ","C5,C6",C_0402_1005Metric,C52923
XL-1010RGBC-WS2812B,U7,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,C5349953
"74LVC1GU04GV,125",U8,SC-74A-5_L2.9-W1.6-P0.95-LS2.8-BL,C548470
RS2227XUTQK10,U5,WQFN-10_L1.8-W1.4-P0.40-BL,C783419
RT9080-33GJ5,U4,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C841192
RT9078-25GJ5,U3,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C965901
